2026-05-23 22:01:11 Starting part 2/3
2026-05-23 22:01:11 Range: 3691 - 7382 (total keys: 11073)
2026-05-23 22:01:11 Resuming from cache: 451 already processed
2026-05-23 22:01:34 Progress part2: 500/3691 (translated: 50, skipped: 0, failed: 0)
2026-05-23 22:02:14 Progress part2: 550/3691 (translated: 100, skipped: 0, failed: 0)
2026-05-23 22:03:01 Progress part2: 600/3691 (translated: 150, skipped: 0, failed: 0)
2026-05-23 22:03:42 Progress part2: 650/3691 (translated: 200, skipped: 0, failed: 0)
2026-05-23 22:04:32 Progress part2: 700/3691 (translated: 250, skipped: 0, failed: 0)
2026-05-23 22:05:26 Progress part2: 750/3691 (translated: 300, skipped: 0, failed: 0)
2026-05-23 22:06:16 Progress part2: 800/3691 (translated: 350, skipped: 0, failed: 0)
2026-05-23 22:07:02 Progress part2: 850/3691 (translated: 400, skipped: 0, failed: 0)
2026-05-23 22:07:54 Progress part2: 900/3691 (translated: 450, skipped: 0, failed: 0)
2026-05-23 22:08:40 Progress part2: 950/3691 (translated: 500, skipped: 0, failed: 0)
2026-05-23 22:09:31 Progress part2: 1000/3691 (translated: 550, skipped: 0, failed: 0)
2026-05-23 22:10:14 Progress part2: 1050/3691 (translated: 596, skipped: 4, failed: 0)
2026-05-23 22:10:50 Progress part2: 1100/3691 (translated: 646, skipped: 4, failed: 0)
2026-05-23 22:11:34 Progress part2: 1150/3691 (translated: 696, skipped: 4, failed: 0)
2026-05-23 22:12:14 Progress part2: 1200/3691 (translated: 746, skipped: 4, failed: 0)
2026-05-23 22:12:58 Progress part2: 1250/3691 (translated: 795, skipped: 5, failed: 0)
2026-05-23 22:13:35 Progress part2: 1300/3691 (translated: 845, skipped: 5, failed: 0)
2026-05-23 22:14:07 Progress part2: 1350/3691 (translated: 895, skipped: 5, failed: 0)
2026-05-23 22:14:43 Progress part2: 1400/3691 (translated: 945, skipped: 5, failed: 0)
2026-05-23 22:15:28 Progress part2: 1450/3691 (translated: 995, skipped: 5, failed: 0)
2026-05-23 22:16:09 Progress part2: 1500/3691 (translated: 1045, skipped: 5, failed: 0)
2026-05-23 22:16:38 Progress part2: 1550/3691 (translated: 1095, skipped: 5, failed: 0)
2026-05-23 22:17:21 Progress part2: 1600/3691 (translated: 1145, skipped: 5, failed: 0)
2026-05-23 22:18:05 Progress part2: 1650/3691 (translated: 1195, skipped: 5, failed: 0)
2026-05-23 22:18:37 Progress part2: 1700/3691 (translated: 1245, skipped: 5, failed: 0)
2026-05-23 22:19:15 Progress part2: 1750/3691 (translated: 1295, skipped: 5, failed: 0)
2026-05-23 22:19:52 Progress part2: 1800/3691 (translated: 1345, skipped: 5, failed: 0)
2026-05-23 22:20:28 Progress part2: 1850/3691 (translated: 1395, skipped: 5, failed: 0)
2026-05-23 22:21:12 Progress part2: 1900/3691 (translated: 1445, skipped: 5, failed: 0)
2026-05-23 22:21:54 Progress part2: 1950/3691 (translated: 1495, skipped: 5, failed: 0)
2026-05-23 22:22:25 Progress part2: 2000/3691 (translated: 1545, skipped: 5, failed: 0)
2026-05-23 22:23:04 Progress part2: 2050/3691 (translated: 1595, skipped: 5, failed: 0)
2026-05-23 22:23:41 Progress part2: 2100/3691 (translated: 1645, skipped: 5, failed: 0)
