2026-05-23 22:00:13 Starting part 1/3
2026-05-23 22:00:13 Range: 0 - 3691 (total keys: 11073)
2026-05-23 22:35:54 Progress part1: 3300/3691 (translated: 3297, skipped: 4, failed: 0)
2026-05-23 22:36:29 Progress part1: 3350/3691 (translated: 3347, skipped: 4, failed: 0)
2026-05-23 22:37:01 Progress part1: 3400/3691 (translated: 3397, skipped: 4, failed: 0)
2026-05-23 22:37:33 Progress part1: 3450/3691 (translated: 3447, skipped: 4, failed: 0)
2026-05-23 22:38:03 Progress part1: 3500/3691 (translated: 3497, skipped: 4, failed: 0)
2026-05-23 22:38:32 Progress part1: 3550/3691 (translated: 3547, skipped: 4, failed: 0)
2026-05-23 22:39:01 Progress part1: 3600/3691 (translated: 3597, skipped: 4, failed: 0)
2026-05-23 22:39:34 Progress part1: 3650/3691 (translated: 3647, skipped: 4, failed: 0)
2026-05-23 22:40:00 === PART 1 DONE ===
2026-05-23 22:40:00 Translated: 3687
2026-05-23 22:40:00 Skipped: 4
2026-05-23 22:40:00 Failed: 0
